empresa_de_transporte_marítimo,Nombre ,dirección_empresa,telefono_empresa,Ciudad,tipo_de_empresa
DAGOBERTO CORTES SEGURA,DAGOBERTO CORTES SEGURA,CARRERA 1  5  38 EL CHARCO,09224 01353,Buenaventura,CABOTAJE PUBLICO
DAGOBERTO GARCES CELORIO,DAGOBERTO GARCES CELORIO,CALLE 3 5 A 13,09224 18 847,Buenaventura,CABOTAJE PUBLICO
DAGOBERTO PAREDES PAREDES,DAGOBERTO PAREDES PAREDES,CALLE 4 12 04,243 31 63,Buenaventura,INTERNACIONAL PUBLICO
DAGOBERTO PAREDES PAREDES,DAGOBERTO PAREDES PAREDES,CALLE 4 12 04,243 31 63,Buenaventura,CABOTAJE PUBLICO
DAMCO COLOMBIA LTDA,ALEJANDRO TORO LONDOÑO,CALLE 100 7 33 OFICINA 1803 EDIFICIO CAPITAL TOWER,601 30 00,Bogotá,INTERNACIONAL PUBLICO
DANMAR LINES LIMITED,INGRID SAENZ GOMEZ,AVENIDA CALLE 26 58B 09,429 29 00,Bogotá,INTERNACIONAL PUBLICO
DECOEXSA MEDITERRANEO S A,JUAN MONTORO,CALLE 100 # 8A-49 PISO 8,6100299,Bogotá,INTERNACIONAL PUBLICO
DEL MONTE FRESH PRODUCE  INTERNACIONAL INC,LUIS HUMBERTO ROJO,CARRERA 81 47 A 51,413 45 45,Bogotá,INTERNACIONAL PUBLICO
DELFINES TOURS LTDA,EVELYN CECILIA PEÑA MORA,CARRERA 1 #9-18 HOTEL COSTA DEL SOL BOCAGRANDE,552752,Cartagena,CABOTAJE PUBLICO
DELIVERANCE SHIPPING LINE,FIDEL ZAMBRANO DE ARMAS,CARRERA 1 MANZANA E CAI 1,3178149145,San andrés,INTERNACIONAL PUBLICO
DELIVERANCE SHIPPING LINE,FIDEL ZAMBRANO DE ARMAS,CARRERA 1 MANZANA E CAI 1,3178149145,San andrés,CABOTAJE PUBLICO
